#	Atomic	number	Z=	34	Date:31-10-2019											
																
#	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	LevelRadYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	185	K1K1	2	1	--->	K1M1	2	6	12879.66	1.78825E-09	0.5980881	2.75504E-06	20	4.455983	2.994396	7.45038
	186	K1K1	2	1	--->	K1M1	4	1	12886.23	1.04424E-07	0.5980881	0.000160961	20	4.394062	2.952785	7.346847
	187	K1K1	2	1	--->	K1M1	4	2	12885.46	1.13331E-07	0.5980881	0.00017468	20	4.406327	2.961028	7.367355
	188	K1K1	2	1	--->	K1M1	4	3	12883.98	2.46711E-10	0.5980881	3.80219E-07	20	4.398225	2.955583	7.353808
	189	K1K1	2	1	--->	K1M1	4	4	12880.16	5.4099E-09	0.5980881	8.33501E-06	20	4.450418	2.990657	7.441075
	190	K1K1	2	1	--->	K1M1	4	5	12878.08	1.13506E-10	0.5980881	1.7485E-07	20	4.450862	2.990955	7.441816
	191	K1K1	2	1	--->	K1M2	0	4	12946.46	3.8986E-05	0.5980881	0.06037471	20	4.097342	2.753391	6.850733
	192	K1K1	2	1	--->	K1M2	0	5	12946.09	0.009851817	0.5980881	15.25633	20	4.182586	2.810675	6.993261
	193	K1K1	2	1	--->	K1M2	0	6	12942.57	3.64245E-05	0.5980881	0.0563909	20	4.313269	2.898493	7.211762
	194	K1K1	2	1	--->	K1M2	2	9	12947.13	0.006117186	0.5980881	9.473717	20	4.05207	2.722969	6.775039
