"8028.27	",1
"8028.28	",1
"8028.29	",1
"8028.3	",1
"8028.31	",1
"8028.32	",1
"8028.33	",1
"8028.34	",1
"8028.35	",1
"8028.36	",1
"8028.37	",1
"8028.38	",1
"8028.39	",1
"8028.4	",1
"8028.41	",1
"8028.42	",1
"8028.43	",1
"8028.44	",1
"8028.45	",1
"8028.46	",1
"8028.47	",1
"8028.48	",1
"8028.49	",1
"8028.5	",1
"8028.51	",1
"8028.52	",1
"8028.53	",1
"8028.54	",1
"8028.55	",1
"8028.56	",1
"8028.57	",1
"8028.58	",1
"8028.59	",1
"8028.6	",1
"8028.61	",1
"8028.62	",1
"8028.63	",1
"8028.64	",1
"8028.65	",1
"8028.66	",1
"8028.67	",1
"8028.68	",1
"8028.69	",1
"8028.7	",1
"8028.71	",1
"8028.72	",1
"8028.73	",1
"8028.74	",1
"8028.75	",1
"8028.76	",1
"8028.77	",1
"8028.78	",1
"8028.79	",1
"8028.8	",1
"8028.81	",1
"8028.82	",1
"8028.83	",1
"8028.84	",1
"8028.85	",1
"8028.86	",1
"8028.87	",1
"8028.88	",1
"8028.89	",1
"8028.9	",1
"8028.91	",1
"8028.92	",1
"8028.93	",1
"8028.94	",1
"8028.95	",1
"8028.96	",1
"8028.97	",1
"8028.98	",1
"8028.99	",1
"8029	",1
"8029.01	",1
"8029.02	",1
"8029.03	",1
"8029.04	",1
"8029.05	",1
"8029.06	",1
"8029.07	",1
"8029.08	",1
"8029.09	",1
"8029.1	",1
"8029.11	",1
"8029.12	",1
"8029.13	",1
"8029.14	",1
"8029.15	",1
"8029.16	",1
"8029.17	",1
"8029.18	",1
"8029.19	",1
"8029.2	",1
"8029.21	",1
"8029.22	",1
"8029.23	",1
"8029.24	",1
"8029.25	",1
"8029.26	",1
"8029.27	",1
"8029.28	",1
"8029.29	",1
"8029.3	",1
"8029.31	",1
"8029.32	",1
"8029.33	",1
"8029.34	",1
"8029.35	",1
"8029.36	",1
"8029.37	",1
"8029.38	",1
"8029.39	",1
"8029.4	",1
"8029.41	",1
"8029.42	",1
"8029.43	",1
"8029.44	",1
"8029.45	",1
"8029.46	",1
"8029.47	",1
"8029.48	",1
"8029.49	",1
"8029.5	",1
"8029.51	",1
"8029.52	",1
"8029.53	",1
"8029.54	",1
"8029.55	",1
"8029.56	",1
"8029.57	",1
"8029.58	",1
"8029.59	",1
"8029.6	",1
"8029.61	",1
"8029.62	",1
"8029.63	",1
"8029.64	",1
"8029.65	",1
"8029.66	",1
"8029.67	",1
"8029.68	",1
"8029.69	",1
"8029.7	",1
"8029.71	",1
"8029.72	",1
"8029.73	",1
"8029.74	",1
"8029.75	",1
"8029.76	",1
"8029.77	",1
"8029.78	",1
"8029.79	",1
"8029.8	",1
"8029.81	",1
"8029.82	",1
"8029.83	",1
"8029.84	",1
"8029.85	",1
"8029.86	",1
"8029.87	",1
"8029.88	",1
"8029.89	",1
"8029.9	",1
"8029.91	",1
"8029.92	",1
"8029.93	",1
"8029.94	",1
"8029.95	",1
"8029.96	",1
"8029.97	",1
"8029.98	",1
"8029.99	",1
"8030	",1
"8030.01	",1
"8030.02	",1
"8030.03	",1
"8030.04	",1
"8030.05	",1
"8030.06	",1
"8030.07	",1
"8030.08	",1
"8030.09	",1
"8030.1	",1
"8030.11	",1
"8030.12	",1
"8030.13	",1
"8030.14	",1
"8030.15	",1
"8030.16	",1
"8030.17	",1
"8030.18	",1
"8030.19	",1
"8030.2	",1
"8030.21	",1
"8030.22	",1
"8030.23	",1
"8030.24	",1
"8030.25	",1
"8030.26	",1
"8030.27	",1
"8030.28	",1
"8030.29	",1
"8030.3	",1
"8030.31	",1
"8030.32	",1
"8030.33	",1
"8030.34	",1
"8030.35	",1
"8030.36	",1
"8030.37	",1
"8030.38	",1
"8030.39	",1
"8030.4	",1
"8030.41	",1
"8030.42	",1
"8030.43	",1
"8030.44	",1
"8030.45	",1
"8030.46	",1
"8030.47	",1
"8030.48	",1
"8030.49	",1
"8030.5	",1
"8030.51	",1
"8030.52	",1
"8030.53	",1
"8030.54	",1
"8030.55	",1
"8030.56	",1
"8030.57	",1
"8030.58	",1
"8030.59	",1
"8030.6	",1
"8030.61	",1
"8030.62	",1
"8030.63	",1
"8030.64	",1
"8030.65	",1
"8030.66	",1
"8030.67	",1
"8030.68	",1
"8030.69	",1
"8030.7	",1
"8030.71	",1
"8030.72	",1
