# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	 226	   K1	    2	         1 ---> 	 L3M4	    7	         3	     8.0199314E+03	       0.000913671	           1.52289
	 227	   K1	    2	         1 ---> 	 L3M4	    1	         2	     8.0207163E+03	       3.73442e-06	           1.52289
	 228	   K1	    2	         1 ---> 	 L3M4	    3	         3	     8.0210677E+03	       9.35395e-06	           1.52289
	 229	   K1	    2	         1 ---> 	 L3M4	    1	         1	     8.0211836E+03	       4.87415e-06	           1.52289
	 230	   K1	    2	         1 ---> 	 L3M4	    3	         2	     8.0216471E+03	       1.45186e-05	           1.52289
	 231	   K1	    2	         1 ---> 	 L3M4	    5	         3	     8.0217775E+03	       1.20097e-05	           1.52289
	 232	   K1	    2	         1 ---> 	 L3M4	    5	         2	     8.0225311E+03	       6.85761e-05	           1.52289
	 233	   K1	    2	         1 ---> 	 L3M5	    7	         2	     8.0227539E+03	       0.000118035	           1.52289
	 234	   K1	    2	         1 ---> 	 L3M5	    7	         1	     8.0236093E+03	       0.000161519	           1.52289
	 235	   K1	    2	         1 ---> 	 L3M5	    5	         1	     8.0236617E+03	       4.04448e-05	           1.52289
	 236	   K1	    2	         1 ---> 	 L3M5	    3	         1	     8.0237050E+03	       3.62692e-05	           1.52289
	 237	   K1	    2	         1 ---> 	 L3M5	    9	         1	     8.0239603E+03	       0.000430516	           1.52289
	 238	   K1	    2	         1 ---> 	 L3N1	    3	         1	     8.0317257E+03	       6.80368e-05	           1.52289
	 239	   K1	    2	         1 ---> 	 M1M1	    1	         1	     8.7009706E+03	       0.000499626	           1.52289
	 240	   K1	    2	         1 ---> 	 M1M3	    3	         3	     8.7417317E+03	       0.000606932	           1.52289
	 241	   K1	    2	         1 ---> 	 M1M3	    1	         3	     8.7418916E+03	       0.000291692	           1.52289
	 242	   K1	    2	         1 ---> 	 M1M2	    1	         2	     8.7554199E+03	        4.2716e-05	           1.52289
